Series Data									
E:\WA2114\WA2114_000_000_CUR.PD0									
Broadband 614.4 kHz									
Pings/Ens =	180								
Time/Ping = 00:01.00									
First Ensemble Date = 14/10/31									
First Ensemble Time = 07:00:00.00									
Ensemble Interval (s) = 	600								
1st Bin Range (m) = 	2.12								
Bin Size (m) =	1								


Ens	YR	MO	DA	HH	MM	SS	HH		Dep
									m


560	14	11	4	4	10	0	0		28.204
561	14	11	4	4	20	0	0		28.101
562	14	11	4	4	30	0	0		27.995
563	14	11	4	4	40	0	0		27.902
564	14	11	4	4	50	0	0		27.814
565	14	11	4	5	0	0	0		27.74
566	14	11	4	5	10	0	0		27.652
567	14	11	4	5	20	0	0		27.579
568	14	11	4	5	30	0	0		27.504
569	14	11	4	5	40	0	0		27.431
570	14	11	4	5	50	0	0		27.359
571	14	11	4	6	0	0	0		27.282
572	14	11	4	6	10	0	0		27.236
573	14	11	4	6	20	0	0		27.175
574	14	11	4	6	30	0	0		27.122
575	14	11	4	6	40	0	0		27.08
576	14	11	4	6	50	0	0		27.046
577	14	11	4	7	0	0	0		27.016
578	14	11	4	7	10	0	0		26.985
579	14	11	4	7	20	0	0		26.969
580	14	11	4	7	30	0	0		26.961
581	14	11	4	7	40	0	0		26.957
582	14	11	4	7	50	0	0		26.939
583	14	11	4	8	0	0	0		26.955
584	14	11	4	8	10	0	0		26.966
585	14	11	4	8	20	0	0		26.996
586	14	11	4	8	30	0	0		27.02
587	14	11	4	8	40	0	0		27.058
588	14	11	4	8	50	0	0		27.083
589	14	11	4	9	0	0	0		27.138
590	14	11	4	9	10	0	0		27.192
591	14	11	4	9	20	0	0		27.246
592	14	11	4	9	30	0	0		27.309
593	14	11	4	9	40	0	0		27.392
594	14	11	4	9	50	0	0		27.449
595	14	11	4	10	0	0	0		27.53
596	14	11	4	10	10	0	0		27.603
597	14	11	4	10	20	0	0		27.678
598	14	11	4	10	30	0	0		27.764
599	14	11	4	10	40	0	0		27.85
600	14	11	4	10	50	0	0		27.943
601	14	11	4	11	0	0	0		28.023
602	14	11	4	11	10	0	0		28.112
603	14	11	4	11	20	0	0		28.193
604	14	11	4	11	30	0	0		28.274
605	14	11	4	11	40	0	0		28.361
606	14	11	4	11	50	0	0		28.448
607	14	11	4	12	0	0	0		28.544
608	14	11	4	12	10	0	0		28.627
609	14	11	4	12	20	0	0		28.699
610	14	11	4	12	30	0	0		28.765
611	14	11	4	12	40	0	0		28.826
612	14	11	4	12	50	0	0		28.874
613	14	11	4	13	0	0	0		28.92
614	14	11	4	13	10	0	0		28.967
615	14	11	4	13	20	0	0		29.004
616	14	11	4	13	30	0	0		29.035
617	14	11	4	13	40	0	0		29.049
618	14	11	4	13	50	0	0		29.06
619	14	11	4	14	0	0	0		29.066
620	14	11	4	14	10	0	0		29.057
621	14	11	4	14	20	0	0		29.043
622	14	11	4	14	30	0	0		29.018
623	14	11	4	14	40	0	0		28.986
624	14	11	4	14	50	0	0		28.954
625	14	11	4	15	0	0	0		28.914
626	14	11	4	15	10	0	0		28.852
627	14	11	4	15	20	0	0		28.796
628	14	11	4	15	30	0	0		28.72
629	14	11	4	15	40	0	0		28.645
630	14	11	4	15	50	0	0		28.566
631	14	11	4	16	0	0	0		28.479
632	14	11	4	16	10	0	0		28.398
633	14	11	4	16	20	0	0		28.311
634	14	11	4	16	30	0	0		28.214
635	14	11	4	16	40	0	0		28.127
636	14	11	4	16	50	0	0		28.04
637	14	11	4	17	0	0	0		27.937
638	14	11	4	17	10	0	0		27.845
639	14	11	4	17	20	0	0		27.76
640	14	11	4	17	30	0	0		27.684
641	14	11	4	17	40	0	0		27.605
642	14	11	4	17	50	0	0		27.517
643	14	11	4	18	0	0	0		27.438
644	14	11	4	18	10	0	0		27.366
645	14	11	4	18	20	0	0		27.299
646	14	11	4	18	30	0	0		27.24
647	14	11	4	18	40	0	0		27.193
648	14	11	4	18	50	0	0		27.129
649	14	11	4	19	0	0	0		27.088
650	14	11	4	19	10	0	0		27.05
651	14	11	4	19	20	0	0		27.015
652	14	11	4	19	30	0	0		26.992
653	14	11	4	19	40	0	0		26.973
